phase_id,list_id,task,stim_id,task_id,order
3,3,truth,67,TR067,32
4,3,truth,75,TR075,1
4,3,truth,9,TR009,2
4,3,truth,42,TR042,3
4,3,truth,80,TR080,4
4,3,truth,47,TR047,5
4,3,truth,43,TR043,6
4,3,truth,112,TR112,7
4,3,truth,111,TR111,8
4,3,truth,76,TR076,9
4,3,truth,74,TR074,10
4,3,truth,15,TR015,11
4,3,truth,48,TR048,12
4,3,truth,12,TR012,13
4,3,truth,73,TR073,14
4,3,truth,46,TR046,15
4,3,truth,41,TR041,16
4,3,truth,77,TR077,17
4,3,truth,10,TR010,18
4,3,truth,105,TR105,19
4,3,truth,110,TR110,20
4,3,truth,44,TR044,21
4,3,truth,78,TR078,22
4,3,truth,79,TR079,23
4,3,truth,45,TR045,24
4,3,truth,11,TR011,25
4,3,truth,108,TR108,26
4,3,truth,109,TR109,27
4,3,truth,13,TR013,28
4,3,truth,16,TR016,29
4,3,truth,106,TR106,30
4,3,truth,14,TR014,31
4,3,truth,107,TR107,32
1,4,interest,1,IN001,1
1,4,interest,111,IN111,2
1,4,interest,119,IN119,3
1,4,interest,71,IN071,4
1,4,interest,109,IN109,5
1,4,interest,44,IN044,6
1,4,interest,6,IN006,7
1,4,interest,55,IN055,8
1,4,interest,67,IN067,9
1,4,interest,47,IN047,10
1,4,interest,42,IN042,11
1,4,interest,46,IN046,12
1,4,interest,106,IN106,13
1,4,interest,122,IN122,14
1,4,interest,4,IN004,15
1,4,interest,120,IN120,16
1,4,interest,59,IN059,17
1,4,interest,43,IN043,18
1,4,interest,72,IN072,19
1,4,interest,3,IN003,20
1,4,interest,128,IN128,21
1,4,interest,49,IN049,22
1,4,interest,125,IN125,23
1,4,interest,108,IN108,24
1,4,interest,52,IN052,25
1,4,interest,121,IN121,26
1,4,interest,127,IN127,27
1,4,interest,124,IN124,28
1,4,interest,112,IN112,29
1,4,interest,116,IN116,30
1,4,interest,7,IN007,31
1,4,interest,117,IN117,32
1,4,interest,63,IN063,33
1,4,interest,41,IN041,34
1,4,interest,70,IN070,35
1,4,interest,58,IN058,36
1,4,interest,113,IN113,37
1,4,interest,115,IN115,38
1,4,interest,68,IN068,39
1,4,interest,8,IN008,40
1,4,interest,5,IN005,41
1,4,interest,126,IN126,42
1,4,interest,66,IN066,43
1,4,interest,2,IN002,44
1,4,interest,45,IN045,45
1,4,interest,105,IN105,46
1,4,interest,50,IN050,47
1,4,interest,57,IN057,48
1,4,interest,107,IN107,49
1,4,interest,62,IN062,50
1,4,interest,53,IN053,51
1,4,interest,110,IN110,52
1,4,interest,60,IN060,53
1,4,interest,114,IN114,54
1,4,interest,69,IN069,55
1,4,interest,54,IN054,56
1,4,interest,56,IN056,57
1,4,interest,48,IN048,58
1,4,interest,65,IN065,59
1,4,interest,51,IN051,60
1,4,interest,61,IN061,61
1,4,interest,123,IN123,62
1,4,interest,64,IN064,63
1,4,interest,118,IN118,64
1,4,truth,10,TR010,1
1,4,truth,110,TR110,2
1,4,truth,9,TR009,3
1,4,truth,111,TR111,4
1,4,truth,45,TR045,5
1,4,truth,76,TR076,6
1,4,truth,107,TR107,7
1,4,truth,15,TR015,8
1,4,truth,105,TR105,9
1,4,truth,80,TR080,10
1,4,truth,106,TR106,11
1,4,truth,47,TR047,12
1,4,truth,109,TR109,13
1,4,truth,13,TR013,14
1,4,truth,79,TR079,15
1,4,truth,41,TR041,16
1,4,truth,12,TR012,17
1,4,truth,78,TR078,18
1,4,truth,74,TR074,19
1,4,truth,14,TR014,20
1,4,truth,44,TR044,21
1,4,truth,77,TR077,22
1,4,truth,75,TR075,23
1,4,truth,48,TR048,24
1,4,truth,16,TR016,25
1,4,truth,46,TR046,26
1,4,truth,108,TR108,27
1,4,truth,112,TR112,28
1,4,truth,42,TR042,29
1,4,truth,11,TR011,30
1,4,truth,73,TR073,31
1,4,truth,43,TR043,32
2,4,truth,52,TR052,1
2,4,truth,82,TR082,2
2,4,truth,117,TR117,3
2,4,truth,17,TR017,4
2,4,truth,118,TR118,5
2,4,truth,88,TR088,6
2,4,truth,19,TR019,7
2,4,truth,18,TR018,8
2,4,truth,113,TR113,9
2,4,truth,114,TR114,10
2,4,truth,49,TR049,11
2,4,truth,22,TR022,12
2,4,truth,20,TR020,13
2,4,truth,120,TR120,14
2,4,truth,21,TR021,15
2,4,truth,50,TR050,16
2,4,truth,23,TR023,17
2,4,truth,86,TR086,18
2,4,truth,54,TR054,19
2,4,truth,81,TR081,20
2,4,truth,115,TR115,21
2,4,truth,55,TR055,22
2,4,truth,83,TR083,23
2,4,truth,24,TR024,24
2,4,truth,119,TR119,25
2,4,truth,87,TR087,26
2,4,truth,56,TR056,27
2,4,truth,51,TR051,28
2,4,truth,116,TR116,29
2,4,truth,85,TR085,30
2,4,truth,53,TR053,31
2,4,truth,84,TR084,32
3,4,truth,93,TR093,1
3,4,truth,121,TR121,2
3,4,truth,59,TR059,3
3,4,truth,64,TR064,4
3,4,truth,60,TR060,5
3,4,truth,92,TR092,6
3,4,truth,29,TR029,7
3,4,truth,25,TR025,8
3,4,truth,30,TR030,9
3,4,truth,94,TR094,10
3,4,truth,32,TR032,11
3,4,truth,63,TR063,12
3,4,truth,27,TR027,13
3,4,truth,126,TR126,14
3,4,truth,128,TR128,15
3,4,truth,124,TR124,16
3,4,truth,95,TR095,17
3,4,truth,123,TR123,18
3,4,truth,31,TR031,19
3,4,truth,28,TR028,20
3,4,truth,91,TR091,21
3,4,truth,26,TR026,22
3,4,truth,127,TR127,23
3,4,truth,58,TR058,24
3,4,truth,90,TR090,25
3,4,truth,62,TR062,26
3,4,truth,122,TR122,27
3,4,truth,125,TR125,28
3,4,truth,61,TR061,29
3,4,truth,89,TR089,30
3,4,truth,57,TR057,31
3,4,truth,96,TR096,32
4,4,truth,40,TR040,1
4,4,truth,70,TR070,2
4,4,truth,97,TR097,3
4,4,truth,35,TR035,4
4,4,truth,36,TR036,5
4,4,truth,69,TR069,6
4,4,truth,102,TR102,7
4,4,truth,6,TR006,8
4,4,truth,104,TR104,9
4,4,truth,68,TR068,10
4,4,truth,39,TR039,11
4,4,truth,101,TR101,12
4,4,truth,98,TR098,13
4,4,truth,33,TR033,14
4,4,truth,71,TR071,15
4,4,truth,4,TR004,16
4,4,truth,99,TR099,17
4,4,truth,1,TR001,18
4,4,truth,2,TR002,19
4,4,truth,38,TR038,20
4,4,truth,66,TR066,21
4,4,truth,100,TR100,22
4,4,truth,72,TR072,23
4,4,truth,34,TR034,24
4,4,truth,8,TR008,25
4,4,truth,5,TR005,26
4,4,truth,67,TR067,27
4,4,truth,37,TR037,28
4,4,truth,3,TR003,29
4,4,truth,65,TR065,30
4,4,truth,7,TR007,31
4,4,truth,103,TR103,32
1,5,interest,106,IN106,1
1,5,interest,34,IN034,2
1,5,interest,119,IN119,3
1,5,interest,56,IN056,4
1,5,interest,60,IN060,5
1,5,interest,126,IN126,6
1,5,interest,63,IN063,7
1,5,interest,102,IN102,8
1,5,interest,47,IN047,9
1,5,interest,128,IN128,10
1,5,interest,121,IN121,11
1,5,interest,62,IN062,12
1,5,interest,52,IN052,13
1,5,interest,123,IN123,14
1,5,interest,43,IN043,15
1,5,interest,107,IN107,16
1,5,interest,118,IN118,17
1,5,interest,99,IN099,18
1,5,interest,35,IN035,19
1,5,interest,120,IN120,20
1,5,interest,108,IN108,21
1,5,interest,64,IN064,22
1,5,interest,38,IN038,23
1,5,interest,48,IN048,24
1,5,interest,37,IN037,25
1,5,interest,42,IN042,26
1,5,interest,51,IN051,27
1,5,interest,104,IN104,28
1,5,interest,124,IN124,29
1,5,interest,100,IN100,30
1,5,interest,45,IN045,31
1,5,interest,117,IN117,32
1,5,interest,41,IN041,33
1,5,interest,114,IN114,34
1,5,interest,54,IN054,35
1,5,interest,55,IN055,36
1,5,interest,111,IN111,37
1,5,interest,105,IN105,38
1,5,interest,97,IN097,39
1,5,interest,109,IN109,40
1,5,interest,33,IN033,41
1,5,interest,103,IN103,42
1,5,interest,127,IN127,43
1,5,interest,40,IN040,44
1,5,interest,57,IN057,45
1,5,interest,46,IN046,46
1,5,interest,39,IN039,47
1,5,interest,113,IN113,48
1,5,interest,110,IN110,49
1,5,interest,112,IN112,50
1,5,interest,58,IN058,51
1,5,interest,98,IN098,52
1,5,interest,49,IN049,53
1,5,interest,50,IN050,54
1,5,interest,36,IN036,55
1,5,interest,115,IN115,56
1,5,interest,122,IN122,57
1,5,interest,44,IN044,58
1,5,interest,53,IN053,59
1,5,interest,59,IN059,60
1,5,interest,116,IN116,61
1,5,interest,125,IN125,62
1,5,interest,101,IN101,63
1,5,interest,61,IN061,64
1,5,truth,71,TR071,1
1,5,truth,4,TR004,2
1,5,truth,40,TR040,3
1,5,truth,98,TR098,4
1,5,truth,102,TR102,5
1,5,truth,68,TR068,6
1,5,truth,69,TR069,7
1,5,truth,66,TR066,8
1,5,truth,39,TR039,9
1,5,truth,8,TR008,10
1,5,truth,2,TR002,11
1,5,truth,70,TR070,12
1,5,truth,1,TR001,13
1,5,truth,36,TR036,14
1,5,truth,33,TR033,15
1,5,truth,104,TR104,16
1,5,truth,65,TR065,17
1,5,truth,100,TR100,18
1,5,truth,99,TR099,19
1,5,truth,103,TR103,20
1,5,truth,101,TR101,21
1,5,truth,37,TR037,22
1,5,truth,38,TR038,23
1,5,truth,97,TR097,24
1,5,truth,7,TR007,25
1,5,truth,3,TR003,26
1,5,truth,34,TR034,27
1,5,truth,72,TR072,28
1,5,truth,6,TR006,29
1,5,truth,35,TR035,30
1,5,truth,5,TR005,31
1,5,truth,67,TR067,32
2,5,truth,77,TR077,1
2,5,truth,78,TR078,2
2,5,truth,105,TR105,3
2,5,truth,47,TR047,4
2,5,truth,46,TR046,5
2,5,truth,12,TR012,6
2,5,truth,106,TR106,7
2,5,truth,42,TR042,8
2,5,truth,74,TR074,9
2,5,truth,76,TR076,10
2,5,truth,10,TR010,11
2,5,truth,79,TR079,12
2,5,truth,80,TR080,13
2,5,truth,110,TR110,14
2,5,truth,13,TR013,15
2,5,truth,112,TR112,16
2,5,truth,107,TR107,17
2,5,truth,16,TR016,18
2,5,truth,45,TR045,19
2,5,truth,109,TR109,20
2,5,truth,14,TR014,21
2,5,truth,44,TR044,22
2,5,truth,9,TR009,23
2,5,truth,15,TR015,24
2,5,truth,11,TR011,25
2,5,truth,111,TR111,26
2,5,truth,43,TR043,27
2,5,truth,75,TR075,28
2,5,truth,108,TR108,29
2,5,truth,41,TR041,30
2,5,truth,48,TR048,31
2,5,truth,73,TR073,32
3,5,truth,52,TR052,1
3,5,truth,20,TR020,2
3,5,truth,22,TR022,3
3,5,truth,55,TR055,4
3,5,truth,54,TR054,5
3,5,truth,23,TR023,6
3,5,truth,53,TR053,7
3,5,truth,84,TR084,8
3,5,truth,18,TR018,9
3,5,truth,56,TR056,10
3,5,truth,114,TR114,11
3,5,truth,120,TR120,12
3,5,truth,50,TR050,13
3,5,truth,81,TR081,14
3,5,truth,119,TR119,15
3,5,truth,82,TR082,16
3,5,truth,88,TR088,17
3,5,truth,83,TR083,18
3,5,truth,49,TR049,19
3,5,truth,51,TR051,20
3,5,truth,115,TR115,21
3,5,truth,19,TR019,22
3,5,truth,86,TR086,23
3,5,truth,116,TR116,24
3,5,truth,113,TR113,25
3,5,truth,85,TR085,26
3,5,truth,118,TR118,27
3,5,truth,17,TR017,28
3,5,truth,87,TR087,29
3,5,truth,117,TR117,30
